edu,area,exp,num,salary,title
学历不限,深圳,经验不限,100,3000-5000,普工
学历不限,深圳,"经验不限,可接收应届生",10,8000-12000,渠道经理/总监
高中,深圳,经验不限,1,3000-5000,文员
高中,深圳,3-5年,4,5000-8000,电工
学历不限,深圳,3-5年,1,5000-8000,销售经理/主管
大专,深圳,"1-2年,可接收应届生",3,5000-8000,财务/会计助理
学历不限,深圳,"经验不限,可接收应届生",10,5000-8000,销售代表
大专,深圳,"经验不限,可接收应届生",6,5000-8000,UI/UE设计
学历不限,深圳,经验不限,50,0,普工
学历不限,深圳,经验不限,20,0,销售助理
大专,深圳,"经验不限,可接收应届生",20,5000-8000,其他职位
学历不限,深圳,经验不限,3,0,电话销售
本科,深圳,1-2年,1,0,嵌入式硬件开发
大专,深圳,"经验不限,可接收应届生",5,0,游戏界面设计
高中,深圳,"经验不限,可接收应届生",10,5000-8000,电话销售
学历不限,深圳,经验不限,5,8000-12000,网络销售
中专,深圳,"经验不限,可接收应届生",5,3000-5000,网络管理员
学历不限,深圳,"1-2年,可接收应届生",10,12000-20000,销售代表
学历不限,深圳,"1-2年,可接收应届生",20,12000-20000,销售代表
学历不限,深圳,经验不限,5,3000-5000,咖啡师
高中,深圳,"1年以下,可接收应届生",10,5000-8000,微信推广
大专,深圳,"经验不限,可接收应届生",4,3000-5000,文员
学历不限,深圳,经验不限,300,3000-5000,普工
大专,深圳,"经验不限,可接收应届生",3,3000-5000,教师/助教
高中,深圳,"3-5年,可接收应届生",2,5000-8000,店员/营业员
学历不限,深圳,"经验不限,可接收应届生",200,3000-5000,普工
学历不限,深圳,"经验不限,可接收应届生",75,3000-5000,普工
学历不限,深圳,"经验不限,可接收应届生",10,5000-8000,销售代表
学历不限,深圳,"经验不限,可接收应届生",12,5000-8000,区域销售
大专,深圳,"经验不限,可接收应届生",25,5000-8000,销售代表
大专,深圳,经验不限,3,0,教师/助教
学历不限,深圳,经验不限,5,3000-5000,电话销售
学历不限,深圳,"经验不限,可接收应届生",6,5000-8000,娱乐厅服务员
学历不限,深圳,经验不限,8,5000-8000,普工
学历不限,深圳,经验不限,20,5000-8000,保姆
高中,深圳,"经验不限,可接收应届生",5,12000-20000,证券/期货/外汇经纪人
